title,url
Python is Actually Portable (2022),https://ahgamut.github.io/2021/07/13/ape-python/
"Visualizing Attention, a Transformer's Heart [video]",https://www.3blue1brown.com/lessons/attention
The Tiny Ultrabright Laser That Can Melt Steel,https://spectrum.ieee.org/pcsel
Beautifying Org Mode in Emacs (2018),https://zzamboni.org/post/beautifying-org-mode-in-emacs/
A shrub in Nepal supplies the raw material for the bank notes used in Japan,https://www.nytimes.com/2024/04/15/world/asia/nepal-japan-yen-argeli.html
Recall.ai (YC W20) Is Hiring Engineer #4 (Rust and Large Scale Infra),https://www.workatastartup.com/jobs/63615
EU data shows PHEVs emit 350% more CO2 than tested values,https://europe.autonews.com/environmentemissions/eu-data-shows-phevs-emit-350-more-co2-tested-values
Better Adb-Shell,https://github.com/matan-h/adb-shell
Trying to Understand Copilot's Type Spaghetti,https://rtpg.co/2024/03/07/parsing-copilots-type-spaghetti/
North Korea Hacked Him. So He Took Down Its Internet (2022),https://www.wired.com/story/north-korea-hacker-internet-outage/
